iter	RMSE
252	0.3542534912
253	0.3542335951
254	0.3542123114
255	0.3541876349
256	0.3541876349
257	0.3541730253
258	0.3541487252
259	0.3540620669
260	0.3540457999
261	0.3540199478
262	0.3539899479
263	0.353840172
264	0.3537937235
265	0.3537617406
266	0.3537223547
267	0.3536831512
268	0.3535781438
269	0.3535302683
270	0.3534784524
271	0.3534565347
272	0.3534541195
273	0.3534290523
274	0.3533842732
275	0.3533482
276	0.3533392561
277	0.3532728764
278	0.3532250325
279	0.3531916771
280	0.3531203641
281	0.353065651
282	0.3530261817
283	0.3529389728
284	0.3529121099
285	0.3528602825
286	0.3528291447
287	0.3528291446
288	0.3527918373
289	0.352737651
290	0.3527362062
291	0.3527266154
292	0.3526865807
293	0.3526395392
294	0.3525874035
295	0.3524726688
296	0.3524462234
297	0.3523238748
298	0.3522938305
299	0.352255709
300	0.3522552468
301	0.3522447209
302	0.3521025159
303	0.3520846943
304	0.3520449028
305	0.3520207682
306	0.3519888819
307	0.3519526299
308	0.3519260095
309	0.3519260094
310	0.3519004527
311	0.351879654
312	0.3518551805
313	0.3517361844
314	0.3517106614
315	0.3516788276
316	0.3516396946
317	0.3516247745
318	0.3516075566
319	0.3515617255
320	0.3515418793
321	0.3515077089
322	0.3515022577
323	0.351487204
324	0.3514755693
325	0.3513748911
326	0.3513476542
327	0.351308841
328	0.3512760058
329	0.3512279788
330	0.3512274044
331	0.3511666578
332	0.3511167976
333	0.3511167974
334	0.3510929692
335	0.3510660748
336	0.3510071942
337	0.3509265379
338	0.3508769668
339	0.3507982301
340	0.3507862307
341	0.3507711739
342	0.3507694142
343	0.3507076485
344	0.3506302644
345	0.3506030431
346	0.3505865674
347	0.3505782763
348	0.3505297003
349	0.3504953593
350	0.3504763142
351	0.3504632393
352	0.3504371403
353	0.3503858855
354	0.3503566853
355	0.3503407662
356	0.3503025178
357	0.3502833737
358	0.3502368496
359	0.350213335
360	0.3501843915
361	0.3500715687
362	0.3500496726
363	0.3499625538
364	0.3499556354
365	0.349955358
366	0.3499552913
367	0.3498677866
368	0.3498343348
369	0.3497962134
370	0.3497109026
371	0.3496933859
372	0.3496797795
373	0.3495512839
374	0.3495082998
375	0.3494798937
376	0.3494457477
377	0.3494323784
378	0.349414922
379	0.3493693971
380	0.3493278474
381	0.3492835171
382	0.3492514686
383	0.3491987198
384	0.3491400281
385	0.3491216986
386	0.3491103233
387	0.3490776264
388	0.3490564776
389	0.3490202407
390	0.3489438862
391	0.3489289137
392	0.3488772337
393	0.3488496804
394	0.348839315
395	0.3488105229
396	0.3488051727
397	0.3487878759
398	0.3487711832
399	0.3487236278
400	0.348646927
401	0.3486073298
402	0.3485859967
403	0.3485621998
404	0.3485457401
405	0.3484835857
406	0.3484722445
407	0.3484522739
408	0.34843608
409	0.3484230666
410	0.3484085228
411	0.3483954394
412	0.3483793002
413	0.3483384549
414	0.3482805728
415	0.3482307585
416	0.3482141275
417	0.3481175421
418	0.3480987749
419	0.348051287
420	0.3480257263
421	0.3480136626
422	0.347955168
423	0.3479551658
424	0.3479152351
425	0.3478789411
426	0.3478508573
427	0.3478265045
428	0.3478099901
429	0.3477884312
430	0.3477565356
431	0.3476997999
432	0.3476698694
433	0.3476507371
434	0.3476287793
435	0.3475882385
436	0.3475597701
437	0.3475528103
438	0.3474979364
439	0.3474824927
440	0.3474333919
441	0.3474333919
442	0.3473880199
443	0.3473152481
444	0.3471995971
445	0.3471829644
446	0.3471829644
447	0.3471261444
448	0.3470855915
449	0.3469867874
450	0.3469625325
451	0.3469496952
452	0.3469200701
453	0.3468860102
454	0.3468791094
455	0.3468746627
456	0.3468087921
457	0.3467674308
458	0.3467518269
459	0.3467342878
460	0.3466860191
461	0.3466601241
462	0.3466358999
463	0.3466166547
464	0.3466114688
465	0.3465528646
466	0.3465337477
467	0.3465151617
468	0.3464956597
469	0.3464668871
470	0.346430146
471	0.3464054735
472	0.3463691635
473	0.3463549807
474	0.3463224352
475	0.3463193285
476	0.3462951802
477	0.346254379
478	0.3462164058
479	0.3461820815
480	0.3461333485
481	0.3461069445
482	0.346000617
483	0.3459913626
484	0.3459777505
485	0.3459501544
486	0.3458852288
487	0.3458681537
488	0.3458418612
489	0.3458295074
490	0.3457974907
491	0.3457643968
492	0.34574101
493	0.3457195779
494	0.3456789685
495	0.3456606697
496	0.345646061
497	0.3456126489
498	0.3455851544
499	0.3455603714
